epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1920.33,1.15952,1.0408,1.33588,0.8301,0.79371,0.80657,0.49139,1.40525,1.35976,1.48321,0.000919704,0.000919704,0.000919704
56,1954.93,1.16126,1.05549,1.31811,0.90336,0.69406,0.77331,0.45993,1.36535,1.35514,1.39038,0.000910273,0.000910273,0.000910273
57,1989.75,1.16967,1.04664,1.34704,0.89556,0.69406,0.83195,0.50321,1.37157,1.22171,1.47888,0.000900842,0.000900842,0.000900842
58,2024.15,1.14738,1.00034,1.32152,0.96528,0.67133,0.70776,0.41078,1.64891,1.34757,1.56405,0.00089141,0.00089141,0.00089141
59,2058.78,1.17089,1.03983,1.34809,0.90416,0.69406,0.83568,0.53223,1.35439,1.10526,1.39064,0.000881979,0.000881979,0.000881979
60,2093.69,1.10252,1.00598,1.30469,0.74186,0.80626,0.78961,0.45607,1.41561,1.48983,1.48024,0.000872547,0.000872547,0.000872547
61,2128.62,1.12982,1.04299,1.29783,1,0.66058,0.79107,0.50584,1.25064,1.09678,1.34232,0.000863116,0.000863116,0.000863116
62,2163.29,1.13738,1.0193,1.31041,0.87512,0.78843,0.89312,0.56648,1.23806,0.87985,1.34836,0.000853685,0.000853685,0.000853685
63,2198.69,1.1304,0.99506,1.30631,0.94237,0.67133,0.75859,0.45367,1.47559,1.17942,1.40495,0.000844253,0.000844253,0.000844253
64,2232.94,1.13783,1.02622,1.30194,0.91174,0.69406,0.80529,0.47449,1.31936,1.22363,1.33603,0.000834822,0.000834822,0.000834822
65,2267.35,1.09642,0.98665,1.29399,0.86488,0.77098,0.86536,0.52866,1.28505,0.98492,1.39433,0.00082539,0.00082539,0.00082539
66,2301.62,1.07796,0.99121,1.26927,0.95273,0.67133,0.80302,0.50509,1.39678,1.21304,1.41367,0.000815959,0.000815959,0.000815959
67,2336.49,1.05717,0.96561,1.27166,0.92969,0.67336,0.81436,0.50739,1.35603,1.32092,1.39009,0.000806528,0.000806528,0.000806528
68,2371.21,1.06301,0.98918,1.25141,0.97774,0.61609,0.79479,0.45739,1.40522,1.36506,1.45765,0.000797096,0.000797096,0.000797096
69,2405.7,1.11036,0.99013,1.2902,0.95081,0.67133,0.82666,0.52057,1.31383,1.06261,1.37326,0.000787665,0.000787665,0.000787665
70,2439.96,1.08989,0.97309,1.27875,0.95362,0.68415,0.79567,0.46881,1.39438,1.27651,1.4436,0.000778233,0.000778233,0.000778233
71,2474.45,1.05614,0.97675,1.25082,0.86962,0.73252,0.83891,0.52793,1.26051,1.06945,1.32835,0.000768802,0.000768802,0.000768802
72,2509.1,1.07963,0.97936,1.26808,0.87921,0.67133,0.71094,0.46004,1.5944,1.82209,1.46165,0.000759371,0.000759371,0.000759371
73,2544.08,1.10743,0.97324,1.29599,0.85727,0.77098,0.87884,0.5277,1.42969,0.87896,1.53511,0.000749939,0.000749939,0.000749939
74,2578.64,1.06284,0.96056,1.26844,0.86013,0.77098,0.82334,0.50146,1.42613,1.14802,1.4899,0.000740508,0.000740508,0.000740508
75,2613.17,1.03948,0.9569,1.25269,0.80913,0.73252,0.79976,0.49885,1.39232,1.06743,1.39745,0.000731076,0.000731076,0.000731076
76,2647.39,1.01568,0.94877,1.2393,0.87502,0.73252,0.77252,0.49215,1.26519,1.31848,1.34568,0.000721645,0.000721645,0.000721645
77,2682.02,1.02576,0.96784,1.25238,0.90454,0.69406,0.78125,0.47581,1.36477,1.31826,1.39328,0.000712214,0.000712214,0.000712214
78,2716.64,1.04215,0.94881,1.23841,0.95684,0.67133,0.72126,0.43996,1.51772,1.44082,1.48948,0.000702782,0.000702782,0.000702782
79,2751.51,1.00598,0.9269,1.23837,0.83215,0.70785,0.78638,0.50709,1.17902,1.2512,1.30353,0.000693351,0.000693351,0.000693351
80,2786.11,0.9849,0.90674,1.20177,0.96053,0.67133,0.77167,0.46156,1.39335,1.39092,1.4098,0.000683919,0.000683919,0.000683919
81,2820.64,0.98538,0.957,1.23482,0.85429,0.77066,0.80388,0.52933,1.18914,1.31145,1.30691,0.000674488,0.000674488,0.000674488
82,2855.12,1.00614,0.94615,1.21077,0.90342,0.74825,0.82167,0.52528,1.34352,1.21793,1.45575,0.000665057,0.000665057,0.000665057
83,2889.6,1.01302,0.94784,1.24592,0.86582,0.77098,0.85765,0.55144,1.22996,1.22474,1.34785,0.000655625,0.000655625,0.000655625
84,2924.19,0.99151,0.91829,1.21426,0.86687,0.77098,0.85664,0.53308,1.29544,1.19146,1.39712,0.000646194,0.000646194,0.000646194
85,2959.11,0.94226,0.92444,1.19525,0.88896,0.73252,0.82679,0.48227,1.39465,1.25703,1.47078,0.000636762,0.000636762,0.000636762
86,2993.56,0.98423,0.8869,1.21053,0.8453,0.80944,0.8517,0.53158,1.23706,1.17168,1.35425,0.000627331,0.000627331,0.000627331
