epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1473.11,1.03062,0.91993,1.27515,0.95041,0.69083,0.80599,0.47395,1.40082,1.06862,1.37331,0.000622615,0.000622615,0.000622615
59,1498.18,0.98329,0.94213,1.26611,0.85024,0.75524,0.74946,0.43713,1.53289,1.59099,1.49529,0.000608468,0.000608468,0.000608468
60,1522.94,0.96844,0.91213,1.24642,0.87459,0.78883,0.9085,0.53799,1.41814,0.89766,1.45526,0.000594321,0.000594321,0.000594321
61,1547.67,1.00927,0.94272,1.26244,1,0.66728,0.75264,0.43968,1.53014,1.4343,1.47482,0.000580174,0.000580174,0.000580174
62,1572.34,1.01643,0.94126,1.2628,0.83769,0.80437,0.91852,0.57811,1.27742,0.80662,1.33029,0.000566027,0.000566027,0.000566027
63,1597.12,0.96618,0.8973,1.22651,0.94499,0.67133,0.85441,0.52051,1.44682,0.89996,1.4221,0.00055188,0.00055188,0.00055188
64,1622.03,0.95053,0.94435,1.23597,0.85838,0.80944,0.92649,0.57311,1.36043,0.72894,1.38481,0.000537733,0.000537733,0.000537733
65,1646.97,0.94499,0.8692,1.23492,0.80889,0.77098,0.85239,0.5182,1.39702,0.91043,1.40443,0.000523586,0.000523586,0.000523586
66,1671.86,0.91629,0.86905,1.20891,0.82098,0.75038,0.83976,0.5401,1.37438,1.10646,1.43955,0.000509438,0.000509438,0.000509438
67,1696.88,0.92289,0.87703,1.20998,0.76362,0.86518,0.88817,0.55159,1.34394,0.86222,1.3532,0.000495291,0.000495291,0.000495291
68,1721.84,0.91552,0.89294,1.19032,0.87132,0.78989,0.88512,0.54793,1.30152,0.82822,1.35324,0.000481144,0.000481144,0.000481144
69,1746.92,0.95161,0.87243,1.22899,0.87275,0.77098,0.91519,0.57827,1.34378,0.83818,1.39377,0.000466997,0.000466997,0.000466997
70,1771.77,0.90628,0.85423,1.19964,0.85838,0.77098,0.91543,0.59342,1.32092,0.88272,1.34377,0.00045285,0.00045285,0.00045285
71,1797.98,0.92909,0.88204,1.20029,0.88495,0.74404,0.87171,0.54295,1.38274,0.86085,1.3793,0.000438703,0.000438703,0.000438703
72,1822.81,0.91072,0.85783,1.19968,0.94509,0.729,0.87153,0.56717,1.28648,0.96104,1.34485,0.000424556,0.000424556,0.000424556
73,1847.73,0.87086,0.8415,1.18124,0.93495,0.70979,0.87936,0.55218,1.26807,0.85048,1.34763,0.000410409,0.000410409,0.000410409
74,1872.39,0.88278,0.82479,1.19135,0.89466,0.71311,0.84918,0.51791,1.42815,1.04962,1.40657,0.000396262,0.000396262,0.000396262
75,1897.32,0.87194,0.85915,1.17019,0.89262,0.73252,0.88702,0.55847,1.31679,1.01775,1.3552,0.000382115,0.000382115,0.000382115
76,1922.14,0.84677,0.83606,1.168,0.88661,0.73252,0.81508,0.55052,1.27972,0.99932,1.34276,0.000367967,0.000367967,0.000367967
77,1947.14,0.86577,0.84354,1.17958,0.79679,0.8549,0.87892,0.55446,1.33173,0.87488,1.3649,0.00035382,0.00035382,0.00035382
78,1971.84,0.84967,0.81548,1.16301,0.8223,0.79371,0.86647,0.56102,1.31207,1.07182,1.37292,0.000339673,0.000339673,0.000339673
79,1996.64,0.82746,0.81181,1.15556,0.90181,0.76972,0.8565,0.58436,1.26659,0.96746,1.29632,0.000325526,0.000325526,0.000325526
80,2021.51,0.82408,0.78453,1.1369,0.80512,0.77098,0.82161,0.52685,1.33531,1.09467,1.4021,0.000311379,0.000311379,0.000311379
81,2046.56,0.82754,0.84074,1.17974,0.86406,0.78849,0.82828,0.52181,1.34318,1.11387,1.40431,0.000297232,0.000297232,0.000297232
82,2071.48,0.83707,0.82767,1.15464,0.85513,0.77083,0.9195,0.61129,1.25006,0.79418,1.34917,0.000283085,0.000283085,0.000283085
83,2097.46,0.82419,0.82932,1.16425,0.8234,0.83217,0.90427,0.58811,1.2731,0.82026,1.3384,0.000268938,0.000268938,0.000268938
84,2122.04,0.82142,0.79027,1.14986,0.89793,0.75197,0.91152,0.61083,1.27891,0.89025,1.36151,0.000254791,0.000254791,0.000254791
